Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Wheat,1997,28516.0,1485.0,376.93,15.9
Albania,Maize,1998,33416.0,1485.0,439.89,16.27
Albania,Potatoes,1998,127212.0,1485.0,439.89,16.27
Albania,Soybeans,1998,14327.0,1485.0,439.89,16.27
Albania,Wheat,1998,28037.0,1485.0,439.89,16.27
Albania,Maize,1999,37455.0,1485.0,502.86,16.57
Albania,Potatoes,1999,142018.0,1485.0,502.86,16.57
Albania,Soybeans,1999,17143.0,1485.0,502.86,16.57
Albania,Wheat,1999,24954.0,1485.0,502.86,16.57
Albania,Maize,2000,38811.0,1485.0,565.82,16.67
Albania,Potatoes,2000,141228.0,1485.0,565.82,16.67
Albania,Soybeans,2000,15000.0,1485.0,565.82,16.67
Albania,Wheat,2000,30455.0,1485.0,565.82,16.67
Albania,Maize,2001,38135.0,1485.0,628.79,16.59
Albania,Potatoes,2001,148818.0,1485.0,628.79,16.59
Albania,Soybeans,2001,20000.0,1485.0,628.79,16.59
Albania,Wheat,2001,28220.0,1485.0,628.79,16.59
Albania,Maize,2002,39460.0,1485.0,691.75,16.47
Albania,Potatoes,2002,153868.0,1485.0,691.75,16.47
Albania,Soybeans,2002,20000.0,1485.0,691.75,16.47
Albania,Wheat,2002,31617.0,1485.0,691.75,16.47
Albania,Maize,2004,46197.0,1485.0,817.68,16.16
Albania,Potatoes,2004,149346.0,1485.0,817.68,16.16
Albania,Soybeans,2004,13333.0,1485.0,817.68,16.16
Albania,Wheat,2004,31130.0,1485.0,817.68,16.16
Albania,Maize,2005,45442.0,1485.0,880.64,15.67
Albania,Potatoes,2005,167061.0,1485.0,880.64,15.67
Albania,Soybeans,2005,17500.0,1485.0,880.64,15.67
Albania,Wheat,2005,31582.0,1485.0,880.64,15.67
Albania,Maize,2006,50111.0,1485.0,943.61,15.92
Albania,Potatoes,2006,170745.0,1485.0,943.61,15.92
Albania,Soybeans,2006,20000.0,1485.0,943.61,15.92
Albania,Wheat,2006,30787.0,1485.0,943.61,15.92
Albania,Maize,2007,46732.0,1485.0,1006.57,16.67
Albania,Potatoes,2007,188902.0,1485.0,1006.57,16.67
Albania,Soybeans,2007,20000.0,1485.0,1006.57,16.67
Albania,Wheat,2007,35496.0,1485.0,1006.57,16.67
Albania,Maize,2008,50000.0,1485.0,1069.54,16.71
Albania,Potatoes,2008,193878.0,1485.0,1069.54,16.71
Albania,Soybeans,2008,20000.0,1485.0,1069.54,16.71
Albania,Wheat,2008,40168.0,1485.0,1069.54,16.71
Albania,Maize,2009,55693.0,1485.0,1132.5,16.73
Albania,Potatoes,2009,219780.0,1485.0,1132.5,16.73
Albania,Soybeans,2009,16667.0,1485.0,1132.5,16.73
Albania,Wheat,2009,40229.0,1485.0,1132.5,16.73
Albania,Maize,2010,66790.0,1485.0,1311.17,16.52
Albania,Potatoes,2010,231111.0,1485.0,1311.17,16.52
Albania,Soybeans,2010,16667.0,1485.0,1311.17,16.52
Albania,Wheat,2010,39905.0,1485.0,1311.17,16.52
Albania,Maize,2011,59869.0,1485.0,1302.63,16.45
Albania,Potatoes,2011,242211.0,1485.0,1302.63,16.45
Albania,Soybeans,2011,18519.0,1485.0,1302.63,16.45
Albania,Wheat,2011,42301.0,1485.0,1302.63,16.45
Albania,Maize,2012,67290.0,1485.0,766.25,16.7
Albania,Potatoes,2012,250538.0,1485.0,766.25,16.7
Albania,Soybeans,2012,13333.0,1485.0,766.25,16.7
Albania,Wheat,2012,41096.0,1485.0,766.25,16.7
Albania,Maize,2013,69533.0,1485.0,982.32,17.41
Albania,Potatoes,2013,260110.0,1485.0,982.32,17.41
Albania,Soybeans,2013,10000.0,1485.0,982.32,17.41
Albania,Wheat,2013,41292.0,1485.0,982.32,17.41
Algeria,Maize,1990,16500.0,89.0,1828.92,17.48
Algeria,Potatoes,1990,78936.0,89.0,1828.92,17.48
Algeria,"Rice, paddy",1990,28000.0,89.0,1828.92,17.48
Algeria,Sorghum,1990,16571.0,89.0,1828.92,17.48
Algeria,Wheat,1990,6315.0,89.0,1828.92,17.48
Algeria,Maize,1991,19231.0,89.0,2461.8,16.26
Algeria,Potatoes,1991,90747.0,89.0,2461.8,16.26
Algeria,"Rice, paddy",1991,26786.0,89.0,2461.8,16.26
Algeria,Sorghum,1991,24231.0,89.0,2461.8,16.26
Algeria,Wheat,1991,10809.0,89.0,2461.8,16.26
Algeria,Maize,1992,22828.0,89.0,1215.47,16.27
Algeria,Potatoes,1992,107917.0,89.0,1215.47,16.27
Algeria,"Rice, paddy",1992,24733.0,89.0,1215.47,16.27
Algeria,Sorghum,1992,40000.0,89.0,1215.47,16.27
Algeria,Wheat,1992,9939.0,89.0,1215.47,16.27
Algeria,Maize,1993,12500.0,89.0,1021.89,17.0
Algeria,Potatoes,1993,111215.0,89.0,1021.89,17.0
Algeria,"Rice, paddy",1993,23111.0,89.0,1021.89,17.0
Algeria,Sorghum,1993,50000.0,89.0,1021.89,17.0
Algeria,Wheat,1993,8097.0,89.0,1021.89,17.0
Algeria,Maize,1994,4512.0,89.0,1255.02,17.88
Algeria,Potatoes,1994,95078.0,89.0,1255.02,17.88
Algeria,"Rice, paddy",1994,21374.0,89.0,1255.02,17.88
Algeria,Wheat,1994,7999.0,89.0,1255.02,17.88
Algeria,Maize,1995,16115.0,89.0,2697.09,17.36
Algeria,Potatoes,1995,136768.0,89.0,2697.09,17.36
Algeria,"Rice, paddy",1995,19598.0,89.0,2697.09,17.36
Algeria,Sorghum,1995,12667.0,89.0,2697.09,17.36
Algeria,Wheat,1995,8924.0,89.0,2697.09,17.36
Algeria,Maize,1996,17154.0,89.0,479.77,16.76
Algeria,Potatoes,1996,134629.0,89.0,479.77,16.76
Algeria,"Rice, paddy",1996,17861.0,89.0,479.77,16.76
Algeria,Sorghum,1996,14750.0,89.0,479.77,16.76
Algeria,Wheat,1996,13090.0,89.0,479.77,16.76
Algeria,Maize,1997,21417.0,89.0,401.22,17.84
Algeria,Potatoes,1997,141042.0,89.0,401.22,17.84
Algeria,"Rice, paddy",1997,15000.0,89.0,401.22,17.84
Algeria,Sorghum,1997,40000.0,89.0,401.22,17.84
Algeria,Wheat,1997,8016.0,89.0,401.22,17.84
Algeria,Maize,1998,17222.0,89.0,322.84,17.14
Algeria,Potatoes,1998,160256.0,89.0,322.84,17.14
Algeria,"Rice, paddy",1998,15000.0,89.0,322.84,17.14
Algeria,Sorghum,1998,24500.0,89.0,322.84,17.14
Algeria,Wheat,1998,8847.0,89.0,322.84,17.14
Algeria,Maize,1999,22375.0,89.0,654.45,17.97
Algeria,Potatoes,1999,153532.0,89.0,654.45,17.97
Algeria,"Rice, paddy",1999,13942.0,89.0,654.45,17.97
Algeria,Sorghum,1999,27000.0,89.0,654.45,17.97
Algeria,Wheat,1999,10711.0,89.0,654.45,17.97
Algeria,Maize,2000,36186.0,89.0,603.67,17.9
Algeria,Potatoes,2000,166143.0,89.0,603.67,17.9
Algeria,"Rice, paddy",2000,13052.0,89.0,603.67,17.9
Algeria,Sorghum,2000,69500.0,89.0,603.67,17.9
Algeria,Wheat,2000,9194.0,89.0,603.67,17.9
Algeria,Maize,2001,27175.0,89.0,710.11,18.13
Algeria,Potatoes,2001,147018.0,89.0,710.11,18.13
Algeria,"Rice, paddy",2001,12314.0,89.0,710.11,18.13
Algeria,Sorghum,2001,27750.0,89.0,710.11,18.13
Algeria,Wheat,2001,11104.0,89.0,710.11,18.13
Algeria,Maize,2002,33480.0,89.0,816.55,17.85
Algeria,Potatoes,2002,183774.0,89.0,816.55,17.85
Algeria,"Rice, paddy",2002,12959.0,89.0,816.55,17.85
Algeria,Sorghum,2002,33900.0,89.0,816.55,17.85
Algeria,Wheat,2002,10739.0,89.0,816.55,17.85
Algeria,Maize,2004,31729.0,89.0,3747.86,17.38
Algeria,Potatoes,2004,203585.0,89.0,3747.86,17.38
Algeria,"Rice, paddy",2004,12829.0,89.0,3747.86,17.38
Algeria,Sorghum,2004,43316.0,89.0,3747.86,17.38
Algeria,Wheat,2004,13582.0,89.0,3747.86,17.38
Algeria,Maize,2005,33864.0,89.0,3662.87,17.19
Algeria,Potatoes,2005,216267.0,89.0,3662.87,17.19
Algeria,"Rice, paddy",2005,12998.0,89.0,3662.87,17.19
Algeria,Sorghum,2005,33486.0,89.0,3662.87,17.19
Algeria,Wheat,2005,15057.0,89.0,3662.87,17.19
Algeria,Maize,2006,65668.0,89.0,4110.72,18.13
Algeria,Potatoes,2006,220689.0,89.0,4110.72,18.13
Algeria,"Rice, paddy",2006,12769.0,89.0,4110.72,18.13
Algeria,Sorghum,2006,56728.0,89.0,4110.72,18.13
Algeria,Wheat,2006,15068.0,89.0,4110.72,18.13
Algeria,Maize,2007,85625.0,89.0,5390.79,17.42
Algeria,Potatoes,2007,189927.0,89.0,5390.79,17.42
Algeria,"Rice, paddy",2007,13375.0,89.0,5390.79,17.42
Algeria,Sorghum,2007,119059.0,89.0,5390.79,17.42
Algeria,Wheat,2007,12742.0,89.0,5390.79,17.42
Algeria,Maize,2008,44714.0,89.0,11556.12,17.55
Algeria,Potatoes,2008,236393.0,89.0,11556.12,17.55
Algeria,"Rice, paddy",2008,13952.0,89.0,11556.12,17.55
Algeria,Sorghum,2008,61786.0,89.0,11556.12,17.55
Algeria,Wheat,2008,11038.0,89.0,11556.12,17.55
Algeria,Maize,2009,30914.0,89.0,3867.99,17.78
Algeria,Potatoes,2009,250764.0,89.0,3867.99,17.78
Algeria,"Rice, paddy",2009,14594.0,89.0,3867.99,17.78
Algeria,Sorghum,2009,90465.0,89.0,3867.99,17.78
Algeria,Wheat,2009,15975.0,89.0,3867.99,17.78
Algeria,Maize,2010,25827.0,89.0,1295.88,17.59
Algeria,Potatoes,2010,270526.0,89.0,1295.88,17.59
Algeria,"Rice, paddy",2010,15305.0,89.0,1295.88,17.59
Algeria,Sorghum,2010,30286.0,89.0,1295.88,17.59
Algeria,Wheat,2010,14838.0,89.0,1295.88,17.59
Algeria,Maize,2011,23374.0,89.0,13861.76,17.79
Algeria,Potatoes,2011,292806.0,89.0,13861.76,17.79
Algeria,"Rice, paddy",2011,16081.0,89.0,13861.76,17.79
Algeria,Sorghum,2011,100000.0,89.0,13861.76,17.79
Algeria,Wheat,2011,17405.0,89.0,13861.76,17.79
Algeria,Maize,2012,25583.0,89.0,17379.76,17.91
Algeria,Potatoes,2012,304291.0,89.0,17379.76,17.91
Algeria,"Rice, paddy",2012,16667.0,89.0,17379.76,17.91
Algeria,Sorghum,2012,206000.0,89.0,17379.76,17.91
Algeria,Wheat,2012,17639.0,89.0,17379.76,17.91
Algeria,Maize,2013,33649.0,89.0,17278.65,17.65
Algeria,Potatoes,2013,303218.0,89.0,17278.65,17.65
Algeria,"Rice, paddy",2013,17778.0,89.0,17278.65,17.65
Algeria,Sorghum,2013,60000.0,89.0,17278.65,17.65
Algeria,Wheat,2013,19100.0,89.0,17278.65,17.65
Angola,Cassava,1990,41177.0,1010.0,64.0,24.12
Angola,Maize,1990,2736.0,1010.0,64.0,24.12
Angola,Potatoes,1990,40000.0,1010.0,64.0,24.12
Angola,"Rice, paddy",1990,9512.0,1010.0,64.0,24.12
Angola,Sweet potatoes,1990,89342.0,1010.0,64.0,24.12
Angola,Wheat,1990,7995.0,1010.0,64.0,24.12
Angola,Cassava,1991,40295.0,1010.0,79.0,24.02
Angola,Maize,1991,4013.0,1010.0,79.0,24.02
Angola,Potatoes,1991,40000.0,1010.0,79.0,24.02
Angola,"Rice, paddy",1991,10000.0,1010.0,79.0,24.02
Angola,Sweet potatoes,1991,83001.0,1010.0,79.0,24.02
Angola,Wheat,1991,8000.0,1010.0,79.0,24.02
Angola,Cassava,1992,42295.0,1010.0,23.0,23.96
Angola,Maize,1992,3778.0,1010.0,23.0,23.96
Angola,Potatoes,1992,40000.0,1010.0,23.0,23.96
Angola,"Rice, paddy",1992,9106.0,1010.0,23.0,23.96
Angola,Sweet potatoes,1992,90000.0,1010.0,23.0,23.96
Angola,Wheat,1992,8000.0,1010.0,23.0,23.96
Angola,Cassava,1993,42295.0,1010.0,169.0,24.15
Angola,Maize,1993,2627.0,1010.0,169.0,24.15
Angola,Potatoes,1993,70000.0,1010.0,169.0,24.15
Angola,"Rice, paddy",1993,8000.0,1010.0,169.0,24.15
Angola,Sweet potatoes,1993,88095.0,1010.0,169.0,24.15
Angola,Wheat,1993,8876.0,1010.0,169.0,24.15
Angola,Cassava,1994,58596.0,1010.0,25.5,24.04
Angola,Maize,1994,2463.0,1010.0,25.5,24.04
Angola,Potatoes,1994,90000.0,1010.0,25.5,24.04
Angola,"Rice, paddy",1994,8750.0,1010.0,25.5,24.04
Angola,Sweet potatoes,1994,83192.0,1010.0,25.5,24.04
Angola,Wheat,1994,10000.0,1010.0,25.5,24.04
Angola,Cassava,1995,51000.0,1010.0,336.0,24.56
Angola,Maize,1995,3517.0,1010.0,336.0,24.56
Angola,Potatoes,1995,76738.0,1010.0,336.0,24.56
Angola,"Rice, paddy",1995,14615.0,1010.0,336.0,24.56
Angola,Sweet potatoes,1995,81138.0,1010.0,336.0,24.56
Angola,Wheat,1995,11855.0,1010.0,336.0,24.56
Angola,Cassava,1996,48077.0,1010.0,40.0,24.11
Angola,Maize,1996,6993.0,1010.0,40.0,24.11
Angola,Potatoes,1996,70000.0,1010.0,40.0,24.11
Angola,"Rice, paddy",1996,17500.0,1010.0,40.0,24.11
Angola,Sweet potatoes,1996,85455.0,1010.0,40.0,24.11
Angola,Wheat,1996,13738.0,1010.0,40.0,24.11
Angola,Cassava,1997,44205.0,1010.0,40.0,24.06
Angola,Maize,1997,5959.0,1010.0,40.0,24.06
Angola,Potatoes,1997,68571.0,1010.0,40.0,24.06
Angola,"Rice, paddy",1997,20000.0,1010.0,40.0,24.06
Angola,Sweet potatoes,1997,78098.0,1010.0,40.0,24.06
Angola,Wheat,1997,15509.0,1010.0,40.0,24.06
Angola,Cassava,1998,55728.0,1010.0,40.0,24.96
Angola,Maize,1998,7396.0,1010.0,40.0,24.96
Angola,Potatoes,1998,62724.0,1010.0,40.0,24.96
Angola,"Rice, paddy",1998,20000.0,1010.0,40.0,24.96
Angola,Sweet potatoes,1998,76256.0,1010.0,40.0,24.96
Angola,Wheat,1998,17143.0,1010.0,40.0,24.96
Angola,Cassava,1999,59821.0,1010.0,40.0,24.37
Angola,Maize,1999,6361.0,1010.0,40.0,24.37
Angola,Potatoes,1999,54597.0,1010.0,40.0,24.37
Angola,"Rice, paddy",1999,14235.0,1010.0,40.0,24.37
Angola,Sweet potatoes,1999,82865.0,1010.0,40.0,24.37
Angola,Wheat,1999,17391.0,1010.0,40.0,24.37
Angola,Cassava,2000,82992.0,1010.0,40.0,24.41
Angola,Maize,2000,5745.0,1010.0,40.0,24.41
Angola,Potatoes,2000,29885.0,1010.0,40.0,24.41
Angola,"Rice, paddy",2000,13454.0,1010.0,40.0,24.41
Angola,Sorghum,2000,3333.0,1010.0,40.0,24.41
Angola,Soybeans,2000,2333.0,1010.0,40.0,24.41
Angola,Sweet potatoes,2000,34938.0,1010.0,40.0,24.41
Angola,Wheat,2000,17023.0,1010.0,40.0,24.41
Angola,Cassava,2001,94072.0,1010.0,40.0,24.43
Angola,Maize,2001,5754.0,1010.0,40.0,24.43
Angola,Potatoes,2001,42552.0,1010.0,40.0,24.43
Angola,"Rice, paddy",2001,13701.0,1010.0,40.0,24.43
Angola,Sorghum,2001,3571.0,1010.0,40.0,24.43
Angola,Soybeans,2001,2500.0,1010.0,40.0,24.43
Angola,Sweet potatoes,2001,44458.0,1010.0,40.0,24.43
Angola,Wheat,2001,16667.0,1010.0,40.0,24.43
Angola,Cassava,2002,110071.0,1010.0,40.0,24.79
Angola,Maize,2002,6706.0,1010.0,40.0,24.79
Angola,Potatoes,2002,42754.0,1010.0,40.0,24.79
Angola,"Rice, paddy",2002,13198.0,1010.0,40.0,24.79
Angola,Sorghum,2002,3400.0,1010.0,40.0,24.79
Angola,Soybeans,2002,2857.0,1010.0,40.0,24.79
Angola,Sweet potatoes,2002,42190.0,1010.0,40.0,24.79
Angola,Wheat,2002,15455.0,1010.0,40.0,24.79
Angola,Cassava,2004,125605.0,1010.0,40.0,24.22
Angola,Maize,2004,5404.0,1010.0,40.0,24.22
Angola,Potatoes,2004,20150.0,1010.0,40.0,24.22
Angola,"Rice, paddy",2004,11584.0,1010.0,40.0,24.22
Angola,Sorghum,2004,3333.0,1010.0,40.0,24.22
Angola,Soybeans,2004,3600.0,1010.0,40.0,24.22
Angola,Sweet potatoes,2004,45360.0,1010.0,40.0,24.22
Angola,Wheat,2004,12442.0,1010.0,40.0,24.22
Angola,Cassava,2005,117628.0,1010.0,40.0,24.41
Angola,Maize,2005,6736.0,1010.0,40.0,24.41
Angola,Potatoes,2005,23646.0,1010.0,40.0,24.41
Angola,"Rice, paddy",2005,6977.0,1010.0,40.0,24.41
Angola,Sorghum,2005,3333.0,1010.0,40.0,24.41
Angola,Soybeans,2005,3793.0,1010.0,40.0,24.41
Angola,Sweet potatoes,2005,46159.0,1010.0,40.0,24.41
Angola,Wheat,2005,10946.0,1010.0,40.0,24.41
Angola,Cassava,2006,117201.0,1010.0,40.0,24.14
Angola,Maize,2006,4687.0,1010.0,40.0,24.14
Angola,Potatoes,2006,52148.0,1010.0,40.0,24.14
Angola,"Rice, paddy",2006,4947.0,1010.0,40.0,24.14
Angola,Sorghum,2006,4091.0,1010.0,40.0,24.14
Angola,Soybeans,2006,4286.0,1010.0,40.0,24.14
Angola,Sweet potatoes,2006,44240.0,1010.0,40.0,24.14
Angola,Wheat,2006,10000.0,1010.0,40.0,24.14
Angola,Cassava,2007,115387.0,1010.0,40.0,24.24
Angola,Maize,2007,5091.0,1010.0,40.0,24.24
Angola,Potatoes,2007,62138.0,1010.0,40.0,24.24
Angola,"Rice, paddy",2007,5143.0,1010.0,40.0,24.24
Angola,Sorghum,2007,4031.0,1010.0,40.0,24.24
Angola,Soybeans,2007,6883.0,1010.0,40.0,24.24
Angola,Sweet potatoes,2007,58855.0,1010.0,40.0,24.24
Angola,Wheat,2007,10000.0,1010.0,40.0,24.24
Angola,Cassava,2008,148084.0,1010.0,40.0,24.27
Angola,Maize,2008,7946.0,1010.0,40.0,24.27
Angola,Potatoes,2008,85085.0,1010.0,40.0,24.27
Angola,"Rice, paddy",2008,5084.0,1010.0,40.0,24.27
Angola,Sorghum,2008,929.0,1010.0,40.0,24.27
Angola,Soybeans,2008,8575.0,1010.0,40.0,24.27
Angola,Sweet potatoes,2008,65437.0,1010.0,40.0,24.27
Angola,Wheat,2008,10000.0,1010.0,40.0,24.27
Angola,Cassava,2009,151759.0,1010.0,40.0,24.33
Angola,Maize,2009,6614.0,1010.0,40.0,24.33
Angola,Potatoes,2009,86509.0,1010.0,40.0,24.33
Angola,"Rice, paddy",2009,6028.0,1010.0,40.0,24.33
Angola,Sorghum,2009,2480.0,1010.0,40.0,24.33
Angola,Soybeans,2009,4449.0,1010.0,40.0,24.33
Angola,Sweet potatoes,2009,66475.0,1010.0,40.0,24.33
Angola,Wheat,2009,10000.0,1010.0,40.0,24.33
Angola,Cassava,2010,155782.0,1010.0,40.0,24.44
Angola,Maize,2010,7200.0,1010.0,40.0,24.44
Angola,Potatoes,2010,87425.0,1010.0,40.0,24.44
Angola,"Rice, paddy",2010,7403.0,1010.0,40.0,24.44
Angola,Sorghum,2010,2814.0,1010.0,40.0,24.44
Angola,Soybeans,2010,4446.0,1010.0,40.0,24.44
Angola,Sweet potatoes,2010,63001.0,1010.0,40.0,24.44
Angola,Wheat,2010,10526.0,1010.0,40.0,24.44
Angola,Cassava,2011,133649.0,1010.0,40.0,24.15
Angola,Maize,2011,7376.0,1010.0,40.0,24.15
Angola,Potatoes,2011,81366.0,1010.0,40.0,24.15
Angola,"Rice, paddy",2011,8914.0,1010.0,40.0,24.15
Angola,Sorghum,2011,3320.0,1010.0,40.0,24.15
Angola,Soybeans,2011,5294.0,1010.0,40.0,24.15
Angola,Sweet potatoes,2011,65512.0,1010.0,40.0,24.15
Angola,Wheat,2011,10959.0,1010.0,40.0,24.15
Angola,Cassava,2012,100073.0,1010.0,40.0,24.24
Angola,Maize,2012,7770.0,1010.0,40.0,24.24
Angola,Potatoes,2012,69381.0,1010.0,40.0,24.24
Angola,"Rice, paddy",2012,7703.0,1010.0,40.0,24.24
Angola,Sorghum,2012,998.0,1010.0,40.0,24.24
Angola,Soybeans,2012,1641.0,1010.0,40.0,24.24
Angola,Sweet potatoes,2012,52954.0,1010.0,40.0,24.24
Angola,Wheat,2012,11258.0,1010.0,40.0,24.24
Angola,Cassava,2013,140517.0,1010.0,40.0,24.55
Angola,Maize,2013,9467.0,1010.0,40.0,24.55
Angola,Potatoes,2013,63303.0,1010.0,40.0,24.55
Angola,"Rice, paddy",2013,12744.0,1010.0,40.0,24.55
Angola,Sorghum,2013,2415.0,1010.0,40.0,24.55
Angola,Soybeans,2013,4405.0,1010.0,40.0,24.55
Angola,Sweet potatoes,2013,73409.0,1010.0,40.0,24.55
Angola,Wheat,2013,9022.0,1010.0,40.0,24.55
Argentina,Cassava,1990,100000.0,591.0,26156.0,17.46
Argentina,Cassava,1990,100000.0,591.0,26156.0,17.67
Argentina,Maize,1990,34608.0,591.0,26156.0,17.46
Argentina,Maize,1990,34608.0,591.0,26156.0,17.67
Argentina,Potatoes,1990,202747.0,591.0,26156.0,17.46
Argentina,Potatoes,1990,202747.0,591.0,26156.0,17.67
Argentina,"Rice, paddy",1990,36709.0,591.0,26156.0,17.46
Argentina,"Rice, paddy",1990,36709.0,591.0,26156.0,17.67
Argentina,Sorghum,1990,28116.0,591.0,26156.0,17.46
Argentina,Sorghum,1990,28116.0,591.0,26156.0,17.67
Argentina,Soybeans,1990,21566.0,591.0,26156.0,17.46
Argentina,Soybeans,1990,21566.0,591.0,26156.0,17.67
Argentina,Sweet potatoes,1990,131864.0,591.0,26156.0,17.46
Argentina,Sweet potatoes,1990,131864.0,591.0,26156.0,17.67
Argentina,Wheat,1990,18947.0,591.0,26156.0,17.46
Argentina,Wheat,1990,18947.0,591.0,26156.0,17.67
Argentina,Cassava,1991,100000.0,591.0,26156.0,17.64
Argentina,Cassava,1991,100000.0,591.0,26156.0,17.86
Argentina,Maize,1991,40444.0,591.0,26156.0,17.64
Argentina,Maize,1991,40444.0,591.0,26156.0,17.86
Argentina,Potatoes,1991,205692.0,591.0,26156.0,17.64
Argentina,Potatoes,1991,205692.0,591.0,26156.0,17.86
Argentina,"Rice, paddy",1991,40294.0,591.0,26156.0,17.64
Argentina,"Rice, paddy",1991,40294.0,591.0,26156.0,17.86
Argentina,Sorghum,1991,33320.0,591.0,26156.0,17.64
Argentina,Sorghum,1991,33320.0,591.0,26156.0,17.86
Argentina,Soybeans,1991,22750.0,591.0,26156.0,17.64
Argentina,Soybeans,1991,22750.0,591.0,26156.0,17.86
Argentina,Sweet potatoes,1991,131364.0,591.0,26156.0,17.64
Argentina,Sweet potatoes,1991,131364.0,591.0,26156.0,17.86
Argentina,Wheat,1991,18972.0,591.0,26156.0,17.64
Argentina,Wheat,1991,18972.0,591.0,26156.0,17.86
Argentina,Cassava,1992,100000.0,591.0,26156.0,17.09
Argentina,Cassava,1992,100000.0,591.0,26156.0,17.51
Argentina,Maize,1992,45237.0,591.0,26156.0,17.09
Argentina,Maize,1992,45237.0,591.0,26156.0,17.51
Argentina,Potatoes,1992,199039.0,591.0,26156.0,17.09
Argentina,Potatoes,1992,199039.0,591.0,26156.0,17.51
Argentina,"Rice, paddy",1992,52075.0,591.0,26156.0,17.09
Argentina,"Rice, paddy",1992,52075.0,591.0,26156.0,17.51
Argentina,Sorghum,1992,36217.0,591.0,26156.0,17.09
Argentina,Sorghum,1992,36217.0,591.0,26156.0,17.51
Argentina,Soybeans,1992,22915.0,591.0,26156.0,17.09
Argentina,Soybeans,1992,22915.0,591.0,26156.0,17.51
Argentina,Sweet potatoes,1992,127273.0,591.0,26156.0,17.09
Argentina,Sweet potatoes,1992,127273.0,591.0,26156.0,17.51
Argentina,Wheat,1992,21809.0,591.0,26156.0,17.09
Argentina,Wheat,1992,21809.0,591.0,26156.0,17.51
Argentina,Cassava,1993,100000.0,591.0,26156.0,17.32
Argentina,Cassava,1993,100000.0,591.0,26156.0,17.53
Argentina,Maize,1993,43552.0,591.0,26156.0,17.32
Argentina,Maize,1993,43552.0,591.0,26156.0,17.53
Argentina,Potatoes,1993,210314.0,591.0,26156.0,17.32
Argentina,Potatoes,1993,210314.0,591.0,26156.0,17.53
Argentina,"Rice, paddy",1993,43559.0,591.0,26156.0,17.32
Argentina,"Rice, paddy",1993,43559.0,591.0,26156.0,17.53
Argentina,Sorghum,1993,39529.0,591.0,26156.0,17.32
Argentina,Sorghum,1993,39529.0,591.0,26156.0,17.53
Argentina,Soybeans,1993,21589.0,591.0,26156.0,17.32
Argentina,Soybeans,1993,21589.0,591.0,26156.0,17.53
Argentina,Sweet potatoes,1993,122955.0,591.0,26156.0,17.32
Argentina,Sweet potatoes,1993,122955.0,591.0,26156.0,17.53
Argentina,Wheat,1993,23272.0,591.0,26156.0,17.32
Argentina,Wheat,1993,23272.0,591.0,26156.0,17.53
Argentina,Cassava,1994,100000.0,591.0,30195.0,18.17
Argentina,Cassava,1994,100000.0,591.0,30195.0,18.31
